gene_name,public_name,N2_specific_read_count, CB4856_specific_read_count
Y74C9A.3,Y74C9A.3,11,13
Y74C9A.2,nlp-40,70,77
Y74C9A.4,Y74C9A.4,30,30
Y74C9A.5,sesn-1,0,0
Y74C9A.1,Y74C9A.1,0,0
Y48G1C.12,Y48G1C.12,2,6
Y48G1C.4,pgs-1,30,35
Y48G1C.5,Y48G1C.5,13,8
Y48G1C.2,csk-1,61,48
Y48G1C.10,Y48G1C.10,4,10
Y48G1C.6,Y48G1C.6,0,7
Y48G1C.11,Y48G1C.11,15,12
Y48G1C.9,Y48G1C.9,0,1
Y48G1C.1,Y48G1C.1,3,2
Y48G1C.7,Y48G1C.7,0,0
Y48G1C.8,Y48G1C.8,31,39
F53G12.1,rab-11.1,343,327
F53G12.8,F53G12.8,0,0
F53G12.7,col-45,0,0
F53G12.6,spe-8,12,11
F53G12.5,mex-3,345,353
F53G12.4,F53G12.4,0,0
F53G12.3,duox-2,0,0
F56C11.1,bli-3,10,5
F56C11.2,ptr-11,1,4
F56C11.6,F56C11.6,2,2
F56C11.5,F56C11.5,9,8
F56C11.4,F56C11.4,3,6
K10E9.1,K10E9.1,12,14
Y48G1BL.2,atm-1,3,8
Y48G1BL.7,Y48G1BL.7,0,0
Y48G1BL.1,Y48G1BL.1,3,6
Y48G1BL.5,Y48G1BL.5,0,0
Y48G1BM.6,Y48G1BM.6,1,3
Y48G1BM.7,Y48G1BM.7,0,0
Y48G1BM.8,Y48G1BM.8,0,0
Y48G1BM.1,Y48G1BM.1,4,5
Y48G1BM.9,Y48G1BM.9,0,0
Y48G1BR.1,Y48G1BR.1,7,6
C53D5.3,C53D5.3,0,0
C53D5.2,C53D5.2,3,1
C53D5.4,ztf-3,0,0
C53D5.1,C53D5.1,14,17
C53D5.5,C53D5.5,12,11
Y48G1A.5,xpo-2,0,0
Y48G1A.4,Y48G1A.4,12,41
Y48G1A.3,daf-25,9,8
Y48G1A.6,mbtr-1,11,13
Y48G1A.2,Y48G1A.2,27,37
Y48G1A.1,Y48G1A.1,18,19
R119.1,R119.1,25,20
R119.7,rnp-8,101,114
R119.2,R119.2,23,20
R119.3,R119.3,25,27
R119.4,pqn-59,195,236
R119.6,taf-4,0,1
R119.5,R119.5,9,16
Y50C1A.1,Y50C1A.1,18,25
Y50C1A.2,Y50C1A.2,0,1
C07F11.2,C07F11.2,1,1
C07F11.1,tol-1,8,10
W04C9.4,W04C9.4,32,26
W04C9.5,W04C9.5,0,2
W04C9.3,cutl-13,0,0
W04C9.6,W04C9.6,1,2
W04C9.2,W04C9.2,0,0
W04C9.1,haf-4,0,1
Y65B4BL.3,Y65B4BL.3,6,5
Y65B4BL.4,Y65B4BL.4,0,1
Y65B4BL.2,deps-1,148,157
Y65B4BL.7,Y65B4BL.7,0,0
Y65B4BL.5,acs-13,233,271
Y65B4BL.6,Y65B4BL.6,0,0
Y65B4BL.1,Y65B4BL.1,1,1
Y65B4BR.8,Y65B4BR.8,18,9
Y65B4BR.5,Y65B4BR.5,342,350
Y65B4BR.4,wwp-1,82,73
Y65B4BR.3,ptr-21,32,52
Y65B4BR.2,lpr-1,0,0
Y65B4BR.1,Y65B4BR.1,0,0
Y65B4BR.9,ceh-9,0,0
Y65B4BR.6,grl-16,0,2
F56A6.2,hum-7,2,2
F56A6.4,F56A6.4,59,79
F56A6.1,sago-2,6,31
Y65B4A.4,Y65B4A.4,1,1
Y65B4A.6,Y65B4A.6,64,59
Y65B4A.3,vps-20,74,63
Y65B4A.2,Y65B4A.2,1,1
Y65B4A.7,Y65B4A.7,5,11
Y65B4A.1,Y65B4A.1,21,26
Y65B4A.8,Y65B4A.8,24,38
Y65B4A.9,Y65B4A.9,10,3
Y18H1A.14,Y18H1A.14,0,0
Y18H1A.11,Y18H1A.11,7,4
Y18H1A.10,Y18H1A.10,12,26
Y18H1A.1,Y18H1A.1,19,4
Y18H1A.4,Y18H1A.4,0,0
Y18H1A.2,Y18H1A.2,18,29
Y18H1A.3,Y18H1A.3,17,22
Y18H1A.7,Y18H1A.7,0,0
Y18H1A.6,pif-1,5,2
Y18H1A.15,Y18H1A.15,6,2
Y18H1A.13,col-46,0,0
Y18H1A.12,col-47,0,0
Y18H1A.9,Y18H1A.9,0,0
Y18H1A.8,Y18H1A.8,29,32
T06A4.2,mps-3,0,0
T06A4.3,T06A4.3,0,0
T06A4.1,T06A4.1,0,0
T06A4.4,T06A4.4,0,0
T06A4.7,T06A4.7,0,0
Y73A3A.1,Y73A3A.1,0,0
ZC123.3,zfh-2,2,3
ZC123.10,ZC123.10,0,0
ZC123.5,ZC123.5,0,0
ZC123.1,ZC123.1,1,0
ZC123.4,ZC123.4,1,5
Y95B8A.8,Y95B8A.8,12,17
Y95B8A.10,pde-6,18,17
Y95B8A.6,Y95B8A.6,3,1
Y95B8A.11,him-19,7,4
Y95B8A.5,gpa-16,28,31
Y95B8A.4,Y95B8A.4,10,9
Y95B8A.12,Y95B8A.12,0,0
Y95B8A.2,Y95B8A.2,0,0
Y95B8A.1,nas-30,1,0
Y34D9B.1,mig-1,9,6
F54A5.2,cutl-20,0,1
F54A5.3,shc-1,2,6
F54A5.4,F54A5.4,0,0
F54A5.1,hmbx-1,1,4
C54G6.7,C54G6.7,0,0
C54G6.3,C54G6.3,0,0
C54G6.2,C54G6.2,0,2
C54G6.1,madf-6,8,10
Y34D9A.1,mrpl-38,24,37
Y34D9A.4,spd-1,39,36
Y34D9A.3,Y34D9A.3,26,36
Y34D9A.7,Y34D9A.7,21,17
Y34D9A.8,Y34D9A.8,0,2
Y34D9A.10,vps-4,47,48
Y34D9A.2,Y34D9A.2,0,1
R06A10.2,gsa-1,7,0
R06A10.3,R06A10.3,0,0
R06A10.1,R06A10.1,0,0
R06A10.5,R06A10.5,0,0
R06A10.4,R06A10.4,2,2
ZK993.2,ZK993.2,0,4
ZK993.1,ceh-45,0,0
Y48G8AL.9,Y48G8AL.9,19,26
Y48G8AL.10,Y48G8AL.10,21,31
Y48G8AL.14,aps-3,20,26
Y48G8AL.8,rpl-17,1049,1054
Y48G8AL.7,Y48G8AL.7,1,1
Y48G8AL.11,haf-6,22,16
Y48G8AL.6,smg-2,103,176
Y48G8AL.5,Y48G8AL.5,35,41
Y48G8AL.1,herc-1,122,133
Y48G8AL.16,Y48G8AL.16,0,0
Y48G8AL.13,Y48G8AL.13,16,16
Y48G8AL.15,Y48G8AL.15,8,4
