gene_name,public_name,N2_specific_read_count, CB4856_specific_read_count
Y74C9A.3,Y74C9A.3,15,14
Y74C9A.2,nlp-40,73,98
Y74C9A.4,Y74C9A.4,29,44
Y74C9A.5,sesn-1,0,0
Y74C9A.1,Y74C9A.1,0,0
Y48G1C.12,Y48G1C.12,1,7
Y48G1C.4,pgs-1,37,39
Y48G1C.5,Y48G1C.5,17,7
Y48G1C.2,csk-1,63,52
Y48G1C.10,Y48G1C.10,11,12
Y48G1C.6,Y48G1C.6,4,3
Y48G1C.11,Y48G1C.11,18,19
Y48G1C.9,Y48G1C.9,2,0
Y48G1C.1,Y48G1C.1,4,3
Y48G1C.7,Y48G1C.7,0,0
Y48G1C.8,Y48G1C.8,38,41
F53G12.1,rab-11.1,419,435
F53G12.8,F53G12.8,0,0
F53G12.7,col-45,0,0
F53G12.6,spe-8,10,16
F53G12.5,mex-3,383,382
F53G12.4,F53G12.4,0,1
F53G12.3,duox-2,0,0
F56C11.1,bli-3,11,5
F56C11.2,ptr-11,5,2
F56C11.6,F56C11.6,0,2
F56C11.5,F56C11.5,8,14
F56C11.4,F56C11.4,3,5
K10E9.1,K10E9.1,20,17
Y48G1BL.2,atm-1,5,4
Y48G1BL.7,Y48G1BL.7,0,0
Y48G1BL.1,Y48G1BL.1,4,9
Y48G1BL.5,Y48G1BL.5,0,0
Y48G1BM.6,Y48G1BM.6,3,6
Y48G1BM.7,Y48G1BM.7,0,0
Y48G1BM.8,Y48G1BM.8,0,0
Y48G1BM.1,Y48G1BM.1,6,4
Y48G1BM.9,Y48G1BM.9,0,0
Y48G1BR.1,Y48G1BR.1,12,17
C53D5.3,C53D5.3,1,0
C53D5.2,C53D5.2,0,0
C53D5.4,ztf-3,0,0
C53D5.1,C53D5.1,11,9
C53D5.5,C53D5.5,13,13
Y48G1A.5,xpo-2,0,0
Y48G1A.4,Y48G1A.4,29,38
Y48G1A.3,daf-25,10,9
Y48G1A.6,mbtr-1,17,18
Y48G1A.2,Y48G1A.2,45,59
Y48G1A.1,Y48G1A.1,12,10
R119.1,R119.1,22,31
R119.7,rnp-8,114,120
R119.2,R119.2,20,30
R119.3,R119.3,25,35
R119.4,pqn-59,254,300
R119.6,taf-4,1,1
R119.5,R119.5,13,13
Y50C1A.1,Y50C1A.1,37,35
Y50C1A.2,Y50C1A.2,3,1
C07F11.2,C07F11.2,2,0
C07F11.1,tol-1,9,11
W04C9.4,W04C9.4,22,23
W04C9.5,W04C9.5,0,1
W04C9.3,cutl-13,0,0
W04C9.6,W04C9.6,2,1
W04C9.2,W04C9.2,1,0
W04C9.1,haf-4,2,3
Y65B4BL.3,Y65B4BL.3,9,7
Y65B4BL.4,Y65B4BL.4,0,0
Y65B4BL.2,deps-1,183,186
