gene_name,public_name,N2_specific_read_count, CB4856_specific_read_count
Y74C9A.3,Y74C9A.3,13,16
Y74C9A.2,nlp-40,93,99
Y74C9A.4,Y74C9A.4,20,40
Y74C9A.5,sesn-1,1,0
Y74C9A.1,Y74C9A.1,0,0
Y48G1C.12,Y48G1C.12,2,3
Y48G1C.4,pgs-1,51,55
Y48G1C.5,Y48G1C.5,7,3
Y48G1C.2,csk-1,76,54
Y48G1C.10,Y48G1C.10,5,14
Y48G1C.6,Y48G1C.6,1,4
Y48G1C.11,Y48G1C.11,28,17
Y48G1C.9,Y48G1C.9,0,0
Y48G1C.1,Y48G1C.1,3,2
Y48G1C.7,Y48G1C.7,0,0
Y48G1C.8,Y48G1C.8,65,44
F53G12.1,rab-11.1,429,427
F53G12.8,F53G12.8,0,0
F53G12.7,col-45,0,0
F53G12.6,spe-8,8,13
F53G12.5,mex-3,399,468
F53G12.4,F53G12.4,1,2
F53G12.3,duox-2,0,0
F56C11.1,bli-3,13,5
F56C11.2,ptr-11,4,0
F56C11.6,F56C11.6,4,2
F56C11.5,F56C11.5,9,11
F56C11.4,F56C11.4,0,9
K10E9.1,K10E9.1,21,29
Y48G1BL.2,atm-1,5,4
Y48G1BL.7,Y48G1BL.7,0,0
Y48G1BL.1,Y48G1BL.1,4,11
Y48G1BL.5,Y48G1BL.5,0,0
Y48G1BM.6,Y48G1BM.6,1,3
Y48G1BM.7,Y48G1BM.7,0,0
Y48G1BM.8,Y48G1BM.8,0,0
Y48G1BM.1,Y48G1BM.1,2,10
Y48G1BM.9,Y48G1BM.9,0,1
Y48G1BR.1,Y48G1BR.1,7,15
C53D5.3,C53D5.3,0,0
C53D5.2,C53D5.2,2,0
C53D5.4,ztf-3,0,0
C53D5.1,C53D5.1,13,10
C53D5.5,C53D5.5,20,18
Y48G1A.5,xpo-2,0,0
Y48G1A.4,Y48G1A.4,40,43
Y48G1A.3,daf-25,15,14
Y48G1A.6,mbtr-1,21,13
Y48G1A.2,Y48G1A.2,50,56
Y48G1A.1,Y48G1A.1,20,15
R119.1,R119.1,26,35
R119.7,rnp-8,137,134
R119.2,R119.2,31,34
R119.3,R119.3,27,24
R119.4,pqn-59,310,328
R119.6,taf-4,0,0
R119.5,R119.5,14,13
Y50C1A.1,Y50C1A.1,40,28
Y50C1A.2,Y50C1A.2,0,2
C07F11.2,C07F11.2,0,0
C07F11.1,tol-1,16,15
W04C9.4,W04C9.4,28,30
W04C9.5,W04C9.5,0,0
W04C9.3,cutl-13,0,0
W04C9.6,W04C9.6,1,1
W04C9.2,W04C9.2,0,1
W04C9.1,haf-4,3,1
Y65B4BL.3,Y65B4BL.3,15,7
Y65B4BL.4,Y65B4BL.4,0,0
Y65B4BL.2,deps-1,165,212
Y65B4BL.7,Y65B4BL.7,0,1
Y65B4BL.5,acs-13,290,333
Y65B4BL.6,Y65B4BL.6,0,0
Y65B4BL.1,Y65B4BL.1,1,2
Y65B4BR.8,Y65B4BR.8,21,27
Y65B4BR.5,Y65B4BR.5,490,509
Y65B4BR.4,wwp-1,95,121
Y65B4BR.3,ptr-21,44,61
Y65B4BR.2,lpr-1,0,0
Y65B4BR.1,Y65B4BR.1,0,0
Y65B4BR.9,ceh-9,0,1
Y65B4BR.6,grl-16,0,1
F56A6.2,hum-7,5,4
F56A6.4,F56A6.4,76,81
F56A6.1,sago-2,6,44
