gene_name,public_name,N2_specific_read_count, CB4856_specific_read_count
Y74C9A.3,Y74C9A.3,17,19
Y74C9A.2,nlp-40,71,104
Y74C9A.4,Y74C9A.4,34,36
Y74C9A.5,sesn-1,0,0
Y74C9A.1,Y74C9A.1,0,0
Y48G1C.12,Y48G1C.12,3,4
Y48G1C.4,pgs-1,47,46
Y48G1C.5,Y48G1C.5,14,7
Y48G1C.2,csk-1,73,60
Y48G1C.10,Y48G1C.10,9,11
Y48G1C.6,Y48G1C.6,5,5
Y48G1C.11,Y48G1C.11,30,20
Y48G1C.9,Y48G1C.9,0,0
Y48G1C.1,Y48G1C.1,2,0
Y48G1C.7,Y48G1C.7,0,0
Y48G1C.8,Y48G1C.8,31,50
F53G12.1,rab-11.1,443,427
F53G12.8,F53G12.8,0,0
F53G12.7,col-45,0,0
F53G12.6,spe-8,10,7
F53G12.5,mex-3,441,435
F53G12.4,F53G12.4,0,0
F53G12.3,duox-2,0,0
F56C11.1,bli-3,11,9
F56C11.2,ptr-11,5,3
F56C11.6,F56C11.6,2,1
F56C11.5,F56C11.5,11,13
F56C11.4,F56C11.4,1,4
K10E9.1,K10E9.1,15,20
Y48G1BL.2,atm-1,7,5
Y48G1BL.7,Y48G1BL.7,1,1
Y48G1BL.1,Y48G1BL.1,4,5
Y48G1BL.5,Y48G1BL.5,0,0
Y48G1BM.6,Y48G1BM.6,0,2
Y48G1BM.7,Y48G1BM.7,0,0
Y48G1BM.8,Y48G1BM.8,0,0
Y48G1BM.1,Y48G1BM.1,6,4
Y48G1BM.9,Y48G1BM.9,0,0
Y48G1BR.1,Y48G1BR.1,7,15
C53D5.3,C53D5.3,0,0
C53D5.2,C53D5.2,1,2
C53D5.4,ztf-3,0,0
C53D5.1,C53D5.1,5,6
C53D5.5,C53D5.5,12,18
Y48G1A.5,xpo-2,0,0
Y48G1A.4,Y48G1A.4,29,32
Y48G1A.3,daf-25,10,11
Y48G1A.6,mbtr-1,16,12
Y48G1A.2,Y48G1A.2,32,48
Y48G1A.1,Y48G1A.1,14,22
R119.1,R119.1,19,35
R119.7,rnp-8,139,159
R119.2,R119.2,40,28
R119.3,R119.3,29,27
R119.4,pqn-59,282,348
R119.6,taf-4,0,0
R119.5,R119.5,12,12
Y50C1A.1,Y50C1A.1,32,28
Y50C1A.2,Y50C1A.2,1,0
C07F11.2,C07F11.2,1,0
C07F11.1,tol-1,18,12
W04C9.4,W04C9.4,29,28
W04C9.5,W04C9.5,1,0
W04C9.3,cutl-13,0,0
W04C9.6,W04C9.6,2,1
W04C9.2,W04C9.2,0,0
W04C9.1,haf-4,3,3
Y65B4BL.3,Y65B4BL.3,10,9
Y65B4BL.4,Y65B4BL.4,0,0
Y65B4BL.2,deps-1,158,202
Y65B4BL.7,Y65B4BL.7,0,0
Y65B4BL.5,acs-13,293,311
Y65B4BL.6,Y65B4BL.6,0,0
Y65B4BL.1,Y65B4BL.1,1,2
Y65B4BR.8,Y65B4BR.8,19,37
Y65B4BR.5,Y65B4BR.5,437,547
Y65B4BR.4,wwp-1,92,86
Y65B4BR.3,ptr-21,42,55
Y65B4BR.2,lpr-1,0,0
Y65B4BR.1,Y65B4BR.1,0,0
Y65B4BR.9,ceh-9,0,0
Y65B4BR.6,grl-16,1,0
F56A6.2,hum-7,1,8
F56A6.4,F56A6.4,84,60
F56A6.1,sago-2,10,30
Y65B4A.4,Y65B4A.4,0,1
Y65B4A.6,Y65B4A.6,68,75
Y65B4A.3,vps-20,88,97
Y65B4A.2,Y65B4A.2,0,2
Y65B4A.7,Y65B4A.7,12,18
Y65B4A.1,Y65B4A.1,26,21
Y65B4A.8,Y65B4A.8,46,47
Y65B4A.9,Y65B4A.9,18,4
Y18H1A.14,Y18H1A.14,0,0
Y18H1A.11,Y18H1A.11,10,5
Y18H1A.10,Y18H1A.10,17,25
Y18H1A.1,Y18H1A.1,16,9
Y18H1A.4,Y18H1A.4,0,0
Y18H1A.2,Y18H1A.2,21,29
Y18H1A.3,Y18H1A.3,22,18
Y18H1A.7,Y18H1A.7,0,0
Y18H1A.6,pif-1,1,4
Y18H1A.15,Y18H1A.15,2,4
Y18H1A.13,col-46,0,0
Y18H1A.12,col-47,0,0
Y18H1A.9,Y18H1A.9,0,0
Y18H1A.8,Y18H1A.8,38,27
T06A4.2,mps-3,0,0
T06A4.3,T06A4.3,0,0
T06A4.1,T06A4.1,0,0
T06A4.4,T06A4.4,0,0
T06A4.7,T06A4.7,0,0
Y73A3A.1,Y73A3A.1,0,0
