gene_name,public_name,N2_specific_read_count, CB4856_specific_read_count
Y74C9A.3,Y74C9A.3,24,18
Y74C9A.2,nlp-40,74,119
Y74C9A.4,Y74C9A.4,38,43
Y74C9A.5,sesn-1,1,0
Y74C9A.1,Y74C9A.1,0,0
Y48G1C.12,Y48G1C.12,4,8
Y48G1C.4,pgs-1,28,53
Y48G1C.5,Y48G1C.5,15,9
Y48G1C.2,csk-1,47,63
Y48G1C.10,Y48G1C.10,7,6
Y48G1C.6,Y48G1C.6,2,2
Y48G1C.11,Y48G1C.11,19,17
Y48G1C.9,Y48G1C.9,1,1
Y48G1C.1,Y48G1C.1,6,2
Y48G1C.7,Y48G1C.7,0,0
Y48G1C.8,Y48G1C.8,40,52
F53G12.1,rab-11.1,488,406
F53G12.8,F53G12.8,0,0
F53G12.7,col-45,0,0
F53G12.6,spe-8,18,11
F53G12.5,mex-3,443,492
F53G12.4,F53G12.4,0,1
F53G12.3,duox-2,0,0
F56C11.1,bli-3,9,10
F56C11.2,ptr-11,3,6
F56C11.6,F56C11.6,3,1
F56C11.5,F56C11.5,8,11
F56C11.4,F56C11.4,4,6
K10E9.1,K10E9.1,10,22
Y48G1BL.2,atm-1,4,4
Y48G1BL.7,Y48G1BL.7,0,2
Y48G1BL.1,Y48G1BL.1,6,11
Y48G1BL.5,Y48G1BL.5,0,0
Y48G1BM.6,Y48G1BM.6,4,1
Y48G1BM.7,Y48G1BM.7,0,0
Y48G1BM.8,Y48G1BM.8,0,0
Y48G1BM.1,Y48G1BM.1,6,5
Y48G1BM.9,Y48G1BM.9,0,0
Y48G1BR.1,Y48G1BR.1,13,8
C53D5.3,C53D5.3,0,0
C53D5.2,C53D5.2,1,1
C53D5.4,ztf-3,1,0
C53D5.1,C53D5.1,4,11
C53D5.5,C53D5.5,12,18
Y48G1A.5,xpo-2,0,0
Y48G1A.4,Y48G1A.4,36,43
Y48G1A.3,daf-25,13,14
Y48G1A.6,mbtr-1,15,23
Y48G1A.2,Y48G1A.2,34,59
Y48G1A.1,Y48G1A.1,25,24
R119.1,R119.1,28,39
R119.7,rnp-8,137,161
R119.2,R119.2,33,31
R119.3,R119.3,30,31
R119.4,pqn-59,260,374
R119.6,taf-4,0,1
R119.5,R119.5,14,16
Y50C1A.1,Y50C1A.1,27,41
Y50C1A.2,Y50C1A.2,2,0
C07F11.2,C07F11.2,0,0
C07F11.1,tol-1,18,12
W04C9.4,W04C9.4,32,25
W04C9.5,W04C9.5,0,1
W04C9.3,cutl-13,0,0
W04C9.6,W04C9.6,2,0
W04C9.2,W04C9.2,1,0
W04C9.1,haf-4,2,3
Y65B4BL.3,Y65B4BL.3,12,6
Y65B4BL.4,Y65B4BL.4,0,0
Y65B4BL.2,deps-1,190,206
Y65B4BL.7,Y65B4BL.7,0,0
Y65B4BL.5,acs-13,270,315
Y65B4BL.6,Y65B4BL.6,0,0
Y65B4BL.1,Y65B4BL.1,0,2
Y65B4BR.8,Y65B4BR.8,19,30
Y65B4BR.5,Y65B4BR.5,479,592
Y65B4BR.4,wwp-1,99,84
Y65B4BR.3,ptr-21,47,58
Y65B4BR.2,lpr-1,0,0
Y65B4BR.1,Y65B4BR.1,1,0
Y65B4BR.9,ceh-9,0,0
Y65B4BR.6,grl-16,0,0
F56A6.2,hum-7,1,6
F56A6.4,F56A6.4,88,79
F56A6.1,sago-2,9,35
Y65B4A.4,Y65B4A.4,0,0
Y65B4A.6,Y65B4A.6,88,77
Y65B4A.3,vps-20,96,82
Y65B4A.2,Y65B4A.2,2,3
Y65B4A.7,Y65B4A.7,10,14
Y65B4A.1,Y65B4A.1,27,27
Y65B4A.8,Y65B4A.8,51,41
Y65B4A.9,Y65B4A.9,18,2
Y18H1A.14,Y18H1A.14,0,0
Y18H1A.11,Y18H1A.11,6,7
Y18H1A.10,Y18H1A.10,24,31
Y18H1A.1,Y18H1A.1,25,9
Y18H1A.4,Y18H1A.4,0,0
Y18H1A.2,Y18H1A.2,21,22
Y18H1A.3,Y18H1A.3,26,23
Y18H1A.7,Y18H1A.7,0,0
Y18H1A.6,pif-1,5,6
Y18H1A.15,Y18H1A.15,7,0
Y18H1A.13,col-46,0,0
Y18H1A.12,col-47,0,0
Y18H1A.9,Y18H1A.9,0,0
Y18H1A.8,Y18H1A.8,29,46
T06A4.2,mps-3,0,0
T06A4.3,T06A4.3,0,0
T06A4.1,T06A4.1,0,0
T06A4.4,T06A4.4,0,0
T06A4.7,T06A4.7,0,0
Y73A3A.1,Y73A3A.1,0,0
ZC123.3,zfh-2,6,9
ZC123.10,ZC123.10,0,0
ZC123.5,ZC123.5,0,0
ZC123.1,ZC123.1,0,0
ZC123.4,ZC123.4,2,5
Y95B8A.8,Y95B8A.8,17,22
Y95B8A.10,pde-6,17,23
Y95B8A.6,Y95B8A.6,3,1
Y95B8A.11,him-19,7,3
Y95B8A.5,gpa-16,30,25
Y95B8A.4,Y95B8A.4,9,11
Y95B8A.12,Y95B8A.12,0,0
Y95B8A.2,Y95B8A.2,0,0
Y95B8A.1,nas-30,0,0
Y34D9B.1,mig-1,8,7
F54A5.2,cutl-20,2,3
F54A5.3,shc-1,1,2
F54A5.4,F54A5.4,0,0
F54A5.1,hmbx-1,5,3
C54G6.7,C54G6.7,0,0
C54G6.3,C54G6.3,0,0
C54G6.2,C54G6.2,1,0
C54G6.1,madf-6,8,11
Y34D9A.1,mrpl-38,40,44
Y34D9A.4,spd-1,58,47
Y34D9A.3,Y34D9A.3,41,52
Y34D9A.7,Y34D9A.7,15,17
Y34D9A.8,Y34D9A.8,1,4
Y34D9A.10,vps-4,68,69
Y34D9A.2,Y34D9A.2,0,3
R06A10.2,gsa-1,5,11
R06A10.3,R06A10.3,0,0
R06A10.1,R06A10.1,0,0
R06A10.5,R06A10.5,0,0
R06A10.4,R06A10.4,0,3
ZK993.2,ZK993.2,0,3
ZK993.1,ceh-45,0,0
Y48G8AL.9,Y48G8AL.9,23,22
Y48G8AL.10,Y48G8AL.10,23,49
Y48G8AL.14,aps-3,33,35
Y48G8AL.8,rpl-17,1252,1286
Y48G8AL.7,Y48G8AL.7,1,0
Y48G8AL.11,haf-6,29,24
Y48G8AL.6,smg-2,133,212
Y48G8AL.5,Y48G8AL.5,45,62
Y48G8AL.1,herc-1,150,179
Y48G8AL.16,Y48G8AL.16,0,0
Y48G8AL.13,Y48G8AL.13,33,31
Y48G8AL.15,Y48G8AL.15,7,7
Y48G8AR.1,grh-1,2,0
Y48G8AR.7,Y48G8AR.7,0,0
Y48G8AR.4,Y48G8AR.4,0,1
Y48G8AR.2,Y48G8AR.2,0,0
Y48G8AR.3,Y48G8AR.3,1,0
K12C11.4,dapk-1,1,1
K12C11.3,K12C11.3,0,0
K12C11.6,K12C11.6,2,5
Y92H12BL.1,Y92H12BL.1,11,6
Y92H12BL.5,Y92H12BL.5,0,0
Y92H12BL.4,Y92H12BL.4,0,0
Y92H12BL.2,Y92H12BL.2,0,0
Y92H12BM.1,Y92H12BM.1,1,0
Y92H12BR.7,Y92H12BR.7,11,7
Y92H12BR.6,set-29,15,15
Y92H12BR.2,Y92H12BR.2,1,0
Y92H12BR.3,Y92H12BR.3,104,86
Y92H12BR.4,Y92H12BR.4,1,0
Y92H12BR.8,mrpl-15,37,47
F37F2.2,F37F2.2,42,45
F47G6.6,F47G6.6,0,0
F47G6.4,spe-15,160,128
F37F2.3,gst-25,0,0
F47G6.3,F47G6.3,44,36
