gene_name,public_name,N2_specific_read_count, CB4856_specific_read_count
Y74C9A.3,Y74C9A.3,16,14
Y74C9A.2,nlp-40,104,84
Y74C9A.4,Y74C9A.4,43,38
Y74C9A.5,sesn-1,0,0
Y74C9A.1,Y74C9A.1,0,0
Y48G1C.12,Y48G1C.12,1,10
Y48G1C.4,pgs-1,38,56
Y48G1C.5,Y48G1C.5,13,6
Y48G1C.2,csk-1,62,55
Y48G1C.10,Y48G1C.10,21,17
Y48G1C.6,Y48G1C.6,5,5
Y48G1C.11,Y48G1C.11,27,20
Y48G1C.9,Y48G1C.9,0,0
Y48G1C.1,Y48G1C.1,2,2
Y48G1C.7,Y48G1C.7,0,0
Y48G1C.8,Y48G1C.8,62,41
F53G12.1,rab-11.1,483,473
F53G12.8,F53G12.8,0,0
F53G12.7,col-45,0,1
F53G12.6,spe-8,12,13
F53G12.5,mex-3,419,468
F53G12.4,F53G12.4,0,0
F53G12.3,duox-2,0,0
F56C11.1,bli-3,8,7
F56C11.2,ptr-11,3,4
F56C11.6,F56C11.6,1,0
F56C11.5,F56C11.5,11,11
F56C11.4,F56C11.4,5,3
K10E9.1,K10E9.1,13,15
Y48G1BL.2,atm-1,5,0
Y48G1BL.7,Y48G1BL.7,0,0
Y48G1BL.1,Y48G1BL.1,2,13
Y48G1BL.5,Y48G1BL.5,0,0
Y48G1BM.6,Y48G1BM.6,5,2
Y48G1BM.7,Y48G1BM.7,0,1
Y48G1BM.8,Y48G1BM.8,0,0
Y48G1BM.1,Y48G1BM.1,3,3
Y48G1BM.9,Y48G1BM.9,0,0
Y48G1BR.1,Y48G1BR.1,7,19
C53D5.3,C53D5.3,1,1
C53D5.2,C53D5.2,3,1
C53D5.4,ztf-3,0,1
C53D5.1,C53D5.1,16,11
C53D5.5,C53D5.5,14,11
Y48G1A.5,xpo-2,0,0
Y48G1A.4,Y48G1A.4,33,46
Y48G1A.3,daf-25,25,17
Y48G1A.6,mbtr-1,15,25
Y48G1A.2,Y48G1A.2,34,41
Y48G1A.1,Y48G1A.1,24,17
R119.1,R119.1,28,37
R119.7,rnp-8,136,164
R119.2,R119.2,27,30
R119.3,R119.3,32,28
R119.4,pqn-59,281,309
R119.6,taf-4,1,0
R119.5,R119.5,12,14
Y50C1A.1,Y50C1A.1,29,33
Y50C1A.2,Y50C1A.2,1,1
C07F11.2,C07F11.2,1,0
C07F11.1,tol-1,16,11
W04C9.4,W04C9.4,31,31
W04C9.5,W04C9.5,0,0
W04C9.3,cutl-13,0,0
W04C9.6,W04C9.6,0,0
W04C9.2,W04C9.2,1,0
W04C9.1,haf-4,2,2
Y65B4BL.3,Y65B4BL.3,15,4
Y65B4BL.4,Y65B4BL.4,0,0
Y65B4BL.2,deps-1,187,201
Y65B4BL.7,Y65B4BL.7,0,0
Y65B4BL.5,acs-13,312,353
Y65B4BL.6,Y65B4BL.6,0,0
Y65B4BL.1,Y65B4BL.1,2,3
Y65B4BR.8,Y65B4BR.8,18,23
Y65B4BR.5,Y65B4BR.5,434,527
Y65B4BR.4,wwp-1,93,106
Y65B4BR.3,ptr-21,51,60
Y65B4BR.2,lpr-1,0,0
Y65B4BR.1,Y65B4BR.1,0,0
Y65B4BR.9,ceh-9,0,1
Y65B4BR.6,grl-16,0,0
F56A6.2,hum-7,5,2
F56A6.4,F56A6.4,79,90
F56A6.1,sago-2,5,34
Y65B4A.4,Y65B4A.4,2,2
Y65B4A.6,Y65B4A.6,77,89
Y65B4A.3,vps-20,81,89
Y65B4A.2,Y65B4A.2,0,3
Y65B4A.7,Y65B4A.7,5,10
Y65B4A.1,Y65B4A.1,26,25
Y65B4A.8,Y65B4A.8,37,53
Y65B4A.9,Y65B4A.9,16,2
Y18H1A.14,Y18H1A.14,0,0
Y18H1A.11,Y18H1A.11,3,9
Y18H1A.10,Y18H1A.10,26,22
Y18H1A.1,Y18H1A.1,16,9
Y18H1A.4,Y18H1A.4,0,0
Y18H1A.2,Y18H1A.2,19,25
Y18H1A.3,Y18H1A.3,30,22
Y18H1A.7,Y18H1A.7,0,1
Y18H1A.6,pif-1,3,2
Y18H1A.15,Y18H1A.15,6,3
Y18H1A.13,col-46,0,0
Y18H1A.12,col-47,0,0
Y18H1A.9,Y18H1A.9,0,0
Y18H1A.8,Y18H1A.8,34,30
T06A4.2,mps-3,0,0
T06A4.3,T06A4.3,0,0
T06A4.1,T06A4.1,0,1
T06A4.4,T06A4.4,0,0
T06A4.7,T06A4.7,0,0
Y73A3A.1,Y73A3A.1,0,0
ZC123.3,zfh-2,5,4
ZC123.10,ZC123.10,0,0
ZC123.5,ZC123.5,0,0
ZC123.1,ZC123.1,0,0
ZC123.4,ZC123.4,6,4
Y95B8A.8,Y95B8A.8,18,15
Y95B8A.10,pde-6,22,24
Y95B8A.6,Y95B8A.6,2,2
Y95B8A.11,him-19,9,7
Y95B8A.5,gpa-16,36,38
Y95B8A.4,Y95B8A.4,9,8
Y95B8A.12,Y95B8A.12,0,4
Y95B8A.2,Y95B8A.2,0,0
Y95B8A.1,nas-30,0,0
Y34D9B.1,mig-1,9,4
F54A5.2,cutl-20,2,2
F54A5.3,shc-1,1,1
F54A5.4,F54A5.4,0,0
F54A5.1,hmbx-1,1,3
C54G6.7,C54G6.7,0,0
C54G6.3,C54G6.3,0,0
C54G6.2,C54G6.2,2,1
C54G6.1,madf-6,15,11
Y34D9A.1,mrpl-38,41,45
Y34D9A.4,spd-1,72,36
Y34D9A.3,Y34D9A.3,35,46
Y34D9A.7,Y34D9A.7,26,16
Y34D9A.8,Y34D9A.8,4,0
Y34D9A.10,vps-4,73,60
Y34D9A.2,Y34D9A.2,2,1
R06A10.2,gsa-1,6,8
R06A10.3,R06A10.3,0,0
R06A10.1,R06A10.1,0,0
R06A10.5,R06A10.5,1,0
R06A10.4,R06A10.4,4,0
ZK993.2,ZK993.2,1,3
ZK993.1,ceh-45,0,0
Y48G8AL.9,Y48G8AL.9,17,20
Y48G8AL.10,Y48G8AL.10,40,67
Y48G8AL.14,aps-3,49,34
Y48G8AL.8,rpl-17,1247,1284
Y48G8AL.7,Y48G8AL.7,1,0
Y48G8AL.11,haf-6,25,18
Y48G8AL.6,smg-2,140,208
Y48G8AL.5,Y48G8AL.5,54,61
Y48G8AL.1,herc-1,169,155
Y48G8AL.16,Y48G8AL.16,0,0
Y48G8AL.13,Y48G8AL.13,27,21
Y48G8AL.15,Y48G8AL.15,4,7
Y48G8AR.1,grh-1,0,1
Y48G8AR.7,Y48G8AR.7,0,0
Y48G8AR.4,Y48G8AR.4,0,0
Y48G8AR.2,Y48G8AR.2,0,0
Y48G8AR.3,Y48G8AR.3,0,0
K12C11.4,dapk-1,3,5
K12C11.3,K12C11.3,0,0
K12C11.6,K12C11.6,5,10
Y92H12BL.1,Y92H12BL.1,12,10
Y92H12BL.5,Y92H12BL.5,0,0
Y92H12BL.4,Y92H12BL.4,0,0
Y92H12BL.2,Y92H12BL.2,0,0
Y92H12BM.1,Y92H12BM.1,2,0
Y92H12BR.7,Y92H12BR.7,16,8
Y92H12BR.6,set-29,14,14
Y92H12BR.2,Y92H12BR.2,0,1
Y92H12BR.3,Y92H12BR.3,114,99
Y92H12BR.4,Y92H12BR.4,0,0
Y92H12BR.8,mrpl-15,31,43
F37F2.2,F37F2.2,31,58
F47G6.6,F47G6.6,0,0
F47G6.4,spe-15,121,132
F37F2.3,gst-25,0,0
F47G6.3,F47G6.3,52,51
F47G6.2,acs-16,1,1
F47G6.1,dyb-1,0,2
Y92H12A.5,Y92H12A.5,86,64
Y92H12A.4,Y92H12A.4,56,45
Y92H12A.3,Y92H12A.3,15,15
Y92H12A.2,Y92H12A.2,44,38
Y92H12A.1,src-1,4,10
Y73E7A.3,Y73E7A.3,10,17
Y73E7A.4,cpx-1,0,0
Y73E7A.5,Y73E7A.5,2,0
Y73E7A.2,Y73E7A.2,26,19
Y73E7A.6,Y73E7A.6,0,0
Y73E7A.9,adpr-1,29,34
Y73E7A.7,bre-4,1,0
Y73E7A.1,Y73E7A.1,0,1
Y73E7A.8,Y73E7A.8,2,1
Y71G12B.20,mab-20,18,15
Y71G12B.18,Y71G12B.18,0,0
Y71G12B.21,pqn-88,5,5
Y71G12B.33,Y71G12B.33,5,1
Y71G12B.22,Y71G12B.22,0,0
Y71G12B.17,Y71G12B.17,14,11
Y71G12B.23,Y71G12B.23,0,1
Y71G12B.35,Y71G12B.35,4,4
Y71G12B.16,drag-1,4,0
Y71G12B.31,Y71G12B.31,1,1
Y71G12B.15,ubc-3,0,1
Y71G12B.13,Y71G12B.13,0,0
Y71G12B.12,atg-5,43,27
Y71G12B.11,Y71G12B.11,41,34
Y71G12B.24,mppa-1,71,79
Y71G12B.10,Y71G12B.10,56,53
Y71G12B.9,lin-65,37,50
Y71G12B.8,Y71G12B.8,1,0
Y71G12B.26,Y71G12B.26,0,0
Y71G12B.7,Y71G12B.7,0,0
Y71G12B.6,Y71G12B.6,0,0
Y71G12B.27,Y71G12B.27,0,0
Y71G12B.5,Y71G12B.5,15,3
Y71G12B.38,Y71G12B.38,4,2
Y71G12B.4,pghm-1,18,18
Y71G12B.3,Y71G12B.3,21,19
Y71G12B.32,Y71G12B.32,0,0
Y71G12B.2,Y71G12B.2,0,0
Y71G12B.30,Y71G12B.30,0,0
Y71G12B.1,Y71G12B.1,102,68
Y71G12B.28,Y71G12B.28,0,1
M01D7.7,egl-30,6,2
M01D7.6,emr-1,188,156
M01D7.5,nlp-12,0,0
M01D7.4,tag-96,17,10
M01D7.9,M01D7.9,1,0
M01D7.1,M01D7.1,0,0
M01D7.2,scm-1,18,10
Y71G12A.3,tub-2,31,31
Y71G12A.4,Y71G12A.4,0,0
Y71G12A.2,Y71G12A.2,40,34
Y51F10.7,Y51F10.7,131,111
Y51F10.5,hex-4,55,67
Y51F10.4,Y51F10.4,47,57
Y51F10.10,Y51F10.10,36,30
Y51F10.11,Y51F10.11,0,1
Y51F10.3,Y51F10.3,64,59
Y51F10.12,Y51F10.12,1,1
Y51F10.2,Y51F10.2,127,96
Y20F4.3,gap-3,8,12
Y20F4.2,crtc-1,9,4
Y20F4.4,Y20F4.4,20,22
Y20F4.5,Y20F4.5,1,0
Y37E3.1,Y37E3.1,18,18
Y37E3.3,rpb-10,84,76
Y37E3.5,arl-13,0,0
Y37E3.8,Y37E3.8,3067,3120
Y37E3.10,Y37E3.10,200,193
Y37E3.11,Y37E3.11,83,83
Y37E3.29,Y37E3.29,1,0
Y37E3.13,Y37E3.13,3,2
Y37E3.15,npp-13,90,68
Y37E3.19,Y37E3.19,4,3
Y37E3.16,fpn-1.1,19,18
Y37E3.17,Y37E3.17,2,0
Y37E3.23,Y37E3.23,2,1
W03F11.6,afd-1,34,33
W03F11.5,W03F11.5,0,0
W03F11.2,gcy-17,0,0
W03F11.3,dct-9,11,11
W03F11.4,W03F11.4,16,22
F12B6.3,lgc-51,0,0
F12B6.2,F12B6.2,11,10
F12B6.1,abt-2,15,15
Y39G10AL.1,Y39G10AL.1,1,3
Y39G10AL.3,cdk-7,37,28
Y39G10AR.11,Y39G10AR.11,24,17
Y39G10AR.12,tpxl-1,152,170
Y39G10AR.10,epg-2,20,29
Y39G10AR.13,icp-1,29,21
Y39G10AR.9,Y39G10AR.9,0,0
Y39G10AR.21,Y39G10AR.21,27,26
Y39G10AR.20,Y39G10AR.20,54,62
Y39G10AR.8,Y39G10AR.8,97,76
Y39G10AR.30,Y39G10AR.30,2,12
Y39G10AR.7,Y39G10AR.7,25,26
Y39G10AR.14,mcm-4,151,243
Y39G10AR.15,Y39G10AR.15,9,7
Y39G10AR.22,srbc-64,0,0
Y39G10AR.16,Y39G10AR.16,147,20
Y39G10AR.6,ugt-31,33,9
Y39G10AR.5,zeel-1,0,0
