gene_name,public_name,N2_specific_read_count, CB4856_specific_read_count
Y74C9A.3,Y74C9A.3,11,13
Y74C9A.2,nlp-40,78,91
Y74C9A.4,Y74C9A.4,34,30
Y74C9A.5,sesn-1,0,0
Y74C9A.1,Y74C9A.1,0,0
Y48G1C.12,Y48G1C.12,2,4
Y48G1C.4,pgs-1,28,40
Y48G1C.5,Y48G1C.5,15,6
Y48G1C.2,csk-1,55,62
Y48G1C.10,Y48G1C.10,14,11
Y48G1C.6,Y48G1C.6,4,3
Y48G1C.11,Y48G1C.11,10,15
Y48G1C.9,Y48G1C.9,2,0
Y48G1C.1,Y48G1C.1,2,2
Y48G1C.7,Y48G1C.7,0,0
Y48G1C.8,Y48G1C.8,33,34
F53G12.1,rab-11.1,342,355
F53G12.8,F53G12.8,0,0
F53G12.7,col-45,0,0
F53G12.6,spe-8,14,6
F53G12.5,mex-3,341,389
F53G12.4,F53G12.4,0,0
F53G12.3,duox-2,0,0
F56C11.1,bli-3,11,9
F56C11.2,ptr-11,7,3
F56C11.6,F56C11.6,5,1
F56C11.5,F56C11.5,11,11
F56C11.4,F56C11.4,1,4
K10E9.1,K10E9.1,17,13
Y48G1BL.2,atm-1,5,3
Y48G1BL.7,Y48G1BL.7,1,1
Y48G1BL.1,Y48G1BL.1,3,3
Y48G1BL.5,Y48G1BL.5,0,0
Y48G1BM.6,Y48G1BM.6,4,2
Y48G1BM.7,Y48G1BM.7,0,0
Y48G1BM.8,Y48G1BM.8,0,0
Y48G1BM.1,Y48G1BM.1,1,5
Y48G1BM.9,Y48G1BM.9,0,0
Y48G1BR.1,Y48G1BR.1,12,3
C53D5.3,C53D5.3,1,0
C53D5.2,C53D5.2,2,2
C53D5.4,ztf-3,0,0
C53D5.1,C53D5.1,7,8
C53D5.5,C53D5.5,9,13
Y48G1A.5,xpo-2,0,0
Y48G1A.4,Y48G1A.4,24,28
Y48G1A.3,daf-25,18,5
Y48G1A.6,mbtr-1,12,14
Y48G1A.2,Y48G1A.2,38,39
Y48G1A.1,Y48G1A.1,18,26
R119.1,R119.1,26,24
R119.7,rnp-8,121,119
R119.2,R119.2,19,15
R119.3,R119.3,17,29
R119.4,pqn-59,198,250
R119.6,taf-4,0,1
R119.5,R119.5,7,11
Y50C1A.1,Y50C1A.1,21,36
Y50C1A.2,Y50C1A.2,0,1
C07F11.2,C07F11.2,0,0
C07F11.1,tol-1,12,11
W04C9.4,W04C9.4,22,33
W04C9.5,W04C9.5,1,0
W04C9.3,cutl-13,0,0
W04C9.6,W04C9.6,1,1
W04C9.2,W04C9.2,0,0
W04C9.1,haf-4,1,2
Y65B4BL.3,Y65B4BL.3,4,5
Y65B4BL.4,Y65B4BL.4,1,0
Y65B4BL.2,deps-1,135,156
Y65B4BL.7,Y65B4BL.7,0,1
Y65B4BL.5,acs-13,240,258
Y65B4BL.6,Y65B4BL.6,0,0
Y65B4BL.1,Y65B4BL.1,1,2
Y65B4BR.8,Y65B4BR.8,12,25
Y65B4BR.5,Y65B4BR.5,340,396
Y65B4BR.4,wwp-1,86,78
Y65B4BR.3,ptr-21,37,53
Y65B4BR.2,lpr-1,0,0
Y65B4BR.1,Y65B4BR.1,0,0
Y65B4BR.9,ceh-9,2,0
Y65B4BR.6,grl-16,1,0
F56A6.2,hum-7,7,4
F56A6.4,F56A6.4,71,75
F56A6.1,sago-2,4,26
Y65B4A.4,Y65B4A.4,0,1
Y65B4A.6,Y65B4A.6,60,71
Y65B4A.3,vps-20,77,88
Y65B4A.2,Y65B4A.2,1,0
Y65B4A.7,Y65B4A.7,6,10
Y65B4A.1,Y65B4A.1,23,18
Y65B4A.8,Y65B4A.8,32,43
Y65B4A.9,Y65B4A.9,13,12
Y18H1A.14,Y18H1A.14,0,0
Y18H1A.11,Y18H1A.11,8,4
Y18H1A.10,Y18H1A.10,14,29
Y18H1A.1,Y18H1A.1,20,3
Y18H1A.4,Y18H1A.4,0,0
Y18H1A.2,Y18H1A.2,16,21
Y18H1A.3,Y18H1A.3,21,22
Y18H1A.7,Y18H1A.7,3,1
Y18H1A.6,pif-1,1,2
Y18H1A.15,Y18H1A.15,3,3
Y18H1A.13,col-46,0,0
Y18H1A.12,col-47,0,0
Y18H1A.9,Y18H1A.9,0,0
Y18H1A.8,Y18H1A.8,30,28
