gene_name,public_name,N2_specific_read_count, CB4856_specific_read_count
Y74C9A.3,Y74C9A.3,13,19
Y74C9A.2,nlp-40,97,110
Y74C9A.4,Y74C9A.4,50,37
Y74C9A.5,sesn-1,1,0
Y74C9A.1,Y74C9A.1,0,0
Y48G1C.12,Y48G1C.12,5,5
Y48G1C.4,pgs-1,50,49
Y48G1C.5,Y48G1C.5,17,11
Y48G1C.2,csk-1,70,73
Y48G1C.10,Y48G1C.10,8,18
Y48G1C.6,Y48G1C.6,1,8
Y48G1C.11,Y48G1C.11,27,25
Y48G1C.9,Y48G1C.9,1,0
Y48G1C.1,Y48G1C.1,0,3
Y48G1C.7,Y48G1C.7,0,0
Y48G1C.8,Y48G1C.8,54,41
F53G12.1,rab-11.1,535,494
F53G12.8,F53G12.8,0,0
F53G12.7,col-45,0,3
F53G12.6,spe-8,15,9
F53G12.5,mex-3,500,545
F53G12.4,F53G12.4,0,0
F53G12.3,duox-2,0,0
F56C11.1,bli-3,12,9
F56C11.2,ptr-11,4,8
F56C11.6,F56C11.6,3,2
F56C11.5,F56C11.5,20,12
F56C11.4,F56C11.4,2,3
K10E9.1,K10E9.1,15,22
Y48G1BL.2,atm-1,6,5
Y48G1BL.7,Y48G1BL.7,0,0
Y48G1BL.1,Y48G1BL.1,2,6
Y48G1BL.5,Y48G1BL.5,0,0
Y48G1BM.6,Y48G1BM.6,3,3
Y48G1BM.7,Y48G1BM.7,0,0
Y48G1BM.8,Y48G1BM.8,0,0
Y48G1BM.1,Y48G1BM.1,3,6
Y48G1BM.9,Y48G1BM.9,0,0
Y48G1BR.1,Y48G1BR.1,8,15
C53D5.3,C53D5.3,0,1
C53D5.2,C53D5.2,0,1
C53D5.4,ztf-3,0,0
C53D5.1,C53D5.1,7,10
C53D5.5,C53D5.5,21,13
Y48G1A.5,xpo-2,0,0
Y48G1A.4,Y48G1A.4,35,39
Y48G1A.3,daf-25,13,14
Y48G1A.6,mbtr-1,15,20
Y48G1A.2,Y48G1A.2,56,57
Y48G1A.1,Y48G1A.1,21,28
R119.1,R119.1,21,42
R119.7,rnp-8,168,161
R119.2,R119.2,32,28
R119.3,R119.3,20,31
R119.4,pqn-59,270,309
R119.6,taf-4,0,0
R119.5,R119.5,20,11
