gene_name,public_name,N2_specific_read_count, CB4856_specific_read_count
Y74C9A.3,Y74C9A.3,21,21
Y74C9A.2,nlp-40,87,94
Y74C9A.4,Y74C9A.4,34,48
Y74C9A.5,sesn-1,0,0
Y74C9A.1,Y74C9A.1,0,0
Y48G1C.12,Y48G1C.12,3,2
Y48G1C.4,pgs-1,43,49
Y48G1C.5,Y48G1C.5,13,3
Y48G1C.2,csk-1,63,73
Y48G1C.10,Y48G1C.10,8,14
Y48G1C.6,Y48G1C.6,5,9
Y48G1C.11,Y48G1C.11,20,19
Y48G1C.9,Y48G1C.9,2,0
Y48G1C.1,Y48G1C.1,1,2
Y48G1C.7,Y48G1C.7,0,0
Y48G1C.8,Y48G1C.8,44,32
F53G12.1,rab-11.1,450,407
F53G12.8,F53G12.8,0,0
F53G12.7,col-45,1,0
F53G12.6,spe-8,12,15
F53G12.5,mex-3,382,420
F53G12.4,F53G12.4,1,1
F53G12.3,duox-2,0,0
F56C11.1,bli-3,11,10
F56C11.2,ptr-11,2,2
F56C11.6,F56C11.6,2,0
F56C11.5,F56C11.5,15,9
F56C11.4,F56C11.4,1,3
K10E9.1,K10E9.1,12,11
Y48G1BL.2,atm-1,3,6
Y48G1BL.7,Y48G1BL.7,0,0
Y48G1BL.1,Y48G1BL.1,1,6
Y48G1BL.5,Y48G1BL.5,0,0
Y48G1BM.6,Y48G1BM.6,1,1
Y48G1BM.7,Y48G1BM.7,0,0
Y48G1BM.8,Y48G1BM.8,0,0
Y48G1BM.1,Y48G1BM.1,3,7
Y48G1BM.9,Y48G1BM.9,0,0
Y48G1BR.1,Y48G1BR.1,6,11
C53D5.3,C53D5.3,0,0
C53D5.2,C53D5.2,0,1
C53D5.4,ztf-3,0,0
C53D5.1,C53D5.1,5,7
C53D5.5,C53D5.5,10,15
Y48G1A.5,xpo-2,0,0
Y48G1A.4,Y48G1A.4,43,30
Y48G1A.3,daf-25,16,19
Y48G1A.6,mbtr-1,13,17
Y48G1A.2,Y48G1A.2,39,45
Y48G1A.1,Y48G1A.1,22,17
R119.1,R119.1,31,37
R119.7,rnp-8,140,120
R119.2,R119.2,24,24
R119.3,R119.3,35,16
R119.4,pqn-59,253,278
R119.6,taf-4,0,0
R119.5,R119.5,13,14
Y50C1A.1,Y50C1A.1,34,41
Y50C1A.2,Y50C1A.2,0,4
C07F11.2,C07F11.2,0,0
C07F11.1,tol-1,17,15
W04C9.4,W04C9.4,24,21
W04C9.5,W04C9.5,0,0
W04C9.3,cutl-13,0,0
W04C9.6,W04C9.6,0,1
W04C9.2,W04C9.2,0,0
W04C9.1,haf-4,1,4
Y65B4BL.3,Y65B4BL.3,7,13
Y65B4BL.4,Y65B4BL.4,0,0
Y65B4BL.2,deps-1,174,201
Y65B4BL.7,Y65B4BL.7,0,0
Y65B4BL.5,acs-13,278,321
Y65B4BL.6,Y65B4BL.6,0,0
Y65B4BL.1,Y65B4BL.1,0,1
Y65B4BR.8,Y65B4BR.8,24,23
Y65B4BR.5,Y65B4BR.5,418,478
Y65B4BR.4,wwp-1,86,97
Y65B4BR.3,ptr-21,45,70
Y65B4BR.2,lpr-1,0,0
Y65B4BR.1,Y65B4BR.1,0,0
Y65B4BR.9,ceh-9,0,0
Y65B4BR.6,grl-16,1,1
F56A6.2,hum-7,4,4
F56A6.4,F56A6.4,71,74
F56A6.1,sago-2,7,35
Y65B4A.4,Y65B4A.4,0,2
Y65B4A.6,Y65B4A.6,73,72
Y65B4A.3,vps-20,108,87
Y65B4A.2,Y65B4A.2,4,2
Y65B4A.7,Y65B4A.7,8,9
Y65B4A.1,Y65B4A.1,34,25
Y65B4A.8,Y65B4A.8,29,46
Y65B4A.9,Y65B4A.9,15,1
Y18H1A.14,Y18H1A.14,0,1
Y18H1A.11,Y18H1A.11,4,7
Y18H1A.10,Y18H1A.10,18,24
Y18H1A.1,Y18H1A.1,24,7
Y18H1A.4,Y18H1A.4,0,0
Y18H1A.2,Y18H1A.2,23,23
Y18H1A.3,Y18H1A.3,24,25
Y18H1A.7,Y18H1A.7,2,0
Y18H1A.6,pif-1,4,7
Y18H1A.15,Y18H1A.15,2,4
Y18H1A.13,col-46,0,0
Y18H1A.12,col-47,0,0
Y18H1A.9,Y18H1A.9,0,0
Y18H1A.8,Y18H1A.8,28,38
T06A4.2,mps-3,0,0
